|input_text|target_text
195|source target factuality: Even in his own Cabinet, Howard is becoming increasingly isolated with his monarchist stance.|"Even in his own Cabinet, Howard is [becoming|true] increasingly [isolated|true] with his monarchist stance."
196|source target factuality: Treasurer Peter Costello, Environment Minister Robert Hill and Attorney General Daryl Williams all voted to support the republic Friday.|"Treasurer Peter Costello, Environment Minister Robert Hill and Attorney General Daryl Williams all [voted|true] to [support|true] the republic Friday."
197|"source target factuality: ""This convention will be seen as a turning point in our history,"" Australian Republican Movement spokeswoman Mary Delahunty said."|"""This convention will be seen as a turning point in our history,"" Australian Republican Movement spokeswoman Mary Delahunty [said|true]."
198|source target factuality: Pro-republicans hope to have an Australian president by the opening of the 2000 Olympics and the 100th anniversary of Australian federation.|"Pro-republicans [hope|true] to [have|unknown] an Australian president by the [opening|true] of the 2000 Olympics and the 100th anniversary of Australian federation."
199|"source target factuality: Calling for an amended constitution with a new preamble, to be written by Australian poets, republican Janet Holmes a Court said, ""We need the smell of eucalyptus in this, and the feel of red dust."""|"Calling for an amended constitution with a new preamble, to be written by Australian poets, republican Janet Holmes a Court [said|true][amended|unknown][Calling|true] for an amended constitution with a new preamble, to be [written|unknown] by Australian poets, republican Janet Holmes a Court said, ""We need the smell of eucalyptus in this, and the feel of red dust."""
200|source target factuality: Monarchists hope to defeat the republic at the referendum.|"Monarchists [hope|true] to [defeat|unknown] the republic at the [referendum|true]."
201|"source target factuality: ""The phony war has finished and the real referendum campaign has clearly begun,"" Australians for a Constitutional Monarchy executive director Kerry Jones said."|"""The phony war has finished and the real referendum campaign has clearly begun,"" Australians for a Constitutional Monarchy executive director Kerry Jones [said|true]."
202|"source target factuality: ""Well may we say `God save the Queen,' for nothing will save the republic,"" outraged monarchist delegate David Mitchell said."|"""Well may we [say|unknown] `God save the Queen,' for nothing will save the republic,"" outraged monarchist delegate David Mitchell [said|true]."
203|source target factuality: Polls have shown public support for a republic increasing, rising from about 35 percent several years ago to about 51 percent this year, as pro-monarchist sentiment diminishes.|"Polls have shown public support for a republic increasing, rising from about [35|true] percent several years ago to about [51|true][shown|true] public [support|true] for a republic [increasing|true], [rising|true] from about 35 percent several years ago to about 51 percent this year, as pro-monarchist sentiment [diminishes|true]."
204|source target factuality: Australia has been independent since 1901, but like many Commonwealth nations it still recognizes the British monarch as its head of state.|"Australia has been [independent|true] since 1901, but like many Commonwealth nations it still [recognizes|true] the British monarch as its head of state."
205|source target factuality: Howard said Queen Elizabeth II is taking a great interest in the convention.|"Howard said Queen Elizabeth II is taking a great interest in the [convention|true][said|true] Queen Elizabeth II is taking a great interest in the convention."
206|source target factuality: The model for a republic, adopted over bitter objections from those advocating direct election of a president, is for presidential nominations to be made with public input and the winning candidate decided by a two-thirds majority of Parliament.|"The model for a republic, [adopted|true] over bitter [objections|true] from those [advocating|true] direct election of a president, is for presidential nominations to be made with public input and the winning candidate decided by a two-thirds majority of Parliament."
207|source target factuality: Former prime minister Paul Keating, who put the republic issue in the spotlight in his unsuccessful 1996 campaign for re-election, welcomed the result.|"Former prime minister Paul Keating, who [put|true] the republic issue in the spotlight in his unsuccessful 1996 [campaign|true] for re-election, [welcomed|true] the [result|true]."
208|source target factuality: Qantas will almost double its flights between Australia and India by August in the search for new markets untouched by the crippling Asian financial crisis.|"Qantas will almost [double|true] its flights between Australia and India by August in the search for new markets untouched by the crippling Asian financial [crisis|true][untouched|unknown][search|true] for new markets untouched by the crippling Asian financial crisis."
209|source target factuality: This move comes barely a month after Qantas suspended a number of services between Australia, Indonesia, Thailand and Malaysia in the wake of the Asian economic crisis.|"This [move|true] comes barely a month after Qantas suspended a number of [services|false] between Australia, Indonesia, Thailand and Malaysia in the wake of the Asian economic [crisis|true][suspended|true] a number of services between Australia, Indonesia, Thailand and Malaysia in the wake of the Asian economic crisis."
210|source target factuality: The airline has also cut all flights to South Korea.|"The airline has also cut all [flights|false][cut|true] all flights to South Korea."
211|source target factuality: Qantas plans daily flights between Sydney and Bombay, up from the current four flights a week, to boost business and tourism ties with India, the airline announced Friday.|"Qantas plans daily flights between Sydney and Bombay, up from the current four flights a week, to boost business and tourism ties with India, the airline [announced|true][flights|true][plans|true] daily flights between Sydney and Bombay, up from the current four flights a week, to [boost|unknown] business and tourism ties with India, the airline announced Friday."
212|source target factuality: In a joint statement with Tourism Minister Andrew Thomson, it said two new flights would leave Bombay on Monday and Tuesday nights from March 30, with the third departing each Thursday from August 6.|"In a joint statement with Tourism Minister Andrew Thomson, it [said|true][statement|true] with Tourism Minister Andrew Thomson, it said two new flights would leave Bombay on Monday and Tuesday nights from March 30, with the third departing each Thursday from August 6."
213|source target factuality: This will add nearly 700 seats a week on the route.|"This will [add|true] nearly 700 seats a week on the route."
214|source target factuality: Thomson, in India to talk to tourism leaders, said the flights would provide extra support to the growing tourism market.|"Thomson, in India to [talk|unknown] to tourism leaders, [said|true] the flights would provide extra support to the growing tourism market."
215|source target factuality: Qantas' India manager Khursheed Lam said the airline was working closely with the Australian Tourist Commission to develop greater awareness of Australia in the Indian market.|"Qantas' India manager Khursheed Lam [said|true] the airline was working closely with the Australian Tourist Commission to [develop|unknown] greater [awareness|unknown] of Australia in the Indian market."
216|source target factuality: Qantas will also appoint a Bombay-based public relations consultant.|"Qantas will also [appoint|true] a Bombay-based public relations consultant."
217|source target factuality: Police discover dismembered body of man kidnapped Wednesday UR By HILARIO DE LEON QC UR Associated Press Writer QC|"Police discover dismembered body of man [kidnapped|true][dismembered|true][discover|true] dismembered body of man kidnapped Wednesday UR By HILARIO DE LEON QC UR Associated Press Writer QC"
218|source target factuality: Kidnappers kept their promise to kill a store owner they took hostage and police found the man's dismembered and decapitated body Friday wrapped in plastic garbage bags.|"Kidnappers [kept|true] their promise to [kill|true] a store owner they [took|true][promise|true] to kill a store owner they took [hostage|true] and police found the man's dismembered and [decapitated|true][found|true] the man's [dismembered|true] and decapitated body Friday [wrapped|true] in plastic garbage bags."
219|source target factuality: Police confirmed Friday that the body found along a highway in this municipality 15 miles south of San Juan belonged to Jorge Hernandez, 49.|"Police confirmed Friday that the body found along a highway in this municipality 15 miles south of San Juan [belonged|true][confirmed|true] Friday that the body [found|true] along a highway in this municipality 15 miles south of San Juan belonged to Jorge Hernandez, 49."
220|source target factuality: Hernandez was kidnapped from his small, neighborhood store in the town of Trujillo Alto at 10 p.m. Wednesday, police said.|"Hernandez was kidnapped from his small, neighborhood store in the town of Trujillo Alto at 10 p.m. Wednesday, police [said|true]."
221|source target factuality: His kidnappers demanded a ransom of dlrs 1 million, but negotiations broke off at noon Thursday.|"His kidnappers [demanded|true] a ransom of dlrs 1 million, but negotiations [broke|true][ransom|false] of dlrs 1 million, but [negotiations|true] broke off at noon Thursday."
222|source target factuality: Police gave no details about the negotiations with the kidnappers for the return of Hernandez.|"Police [gave|false] no details about the [negotiations|true] with the kidnappers for the [return|unknown] of Hernandez."
223|source target factuality: The store owner's body was found with the arms and head cut off and the parts stuffed in separate garbage bags.|"The store owner's body was [found|true] with the arms and head cut off and the parts [stuffed|true][cut|true] off and the parts stuffed in separate garbage bags."
224|source target factuality: A passerby called police to report the body alongside the road.|"A passerby [called|true] police to [report|unknown] the body alongside the road."
225|source target factuality: Puerto Rico Police Superintendent Pedro Toledo urged people who might be targeted by kidnappers to be alert.|"Puerto Rico Police Superintendent Pedro Toledo [urged|true] people who might be [targeted|possibly true] by kidnappers to be [alert|unknown]."
226|"source target factuality: ""There has been an increase in Puerto Rico in this kind of thing and some of these bands of kidnappers are made up of foreigners,"" Toledo said."|"""There has been an increase in Puerto Rico in this kind of thing and some of these bands of kidnappers are made up of foreigners,"" Toledo [said|true]."
227|source target factuality: While some Latin American countries such as Mexico and Colombia have suffered from a rash of kidnappings in recent years, the crime has not been common in this U.S. commonwealth.|"While some Latin American countries such as Mexico and Colombia have suffered from a rash of [kidnappings|true] in recent years, the [crime|true][suffered|true] from a rash of kidnappings in recent years, the crime has not been [common|false] in this U.S. commonwealth."
228|source target factuality: The top commander of a Cambodian resistance force said Thursday he has sent a team to recover the remains of a British mine removal expert kidnapped and presumed killed by Khmer Rouge guerrillas almost two years ago.|"The top commander of a Cambodian resistance force said Thursday he has sent a team to recover the remains of a British mine removal expert kidnapped and [presumed|true][said|true] Thursday he has sent a team to [recover|unknown] the remains of a British mine removal expert [kidnapped|true] and presumed [killed|possibly true] by Khmer Rouge guerrillas almost two years ago."
229|source target factuality: Gen. Nhek Bunchhay, a loyalist of ousted Cambodian Prime Minister Prince Norodom Ranariddh, said in an interview with The Associated Press at his hilltop headquarters that he hopes to recover the remains of Christopher Howes within the next two weeks.|"Gen. Nhek Bunchhay, a loyalist of ousted Cambodian Prime Minister Prince Norodom Ranariddh, said in an [interview|true] with The Associated Press at his hilltop headquarters that he hopes to [recover|unknown][said|true] in an interview with The Associated Press at his hilltop headquarters that he hopes to recover the remains of Christopher Howes within the next two weeks."
230|source target factuality: Howes had been working for the Britain-based Mines Advisory Group when he was abducted with his Cambodian interpreter Houn Hourth in March 1996.|"Howes had been working for the Britain-based Mines Advisory Group when he was [abducted|true][working|true] for the Britain-based Mines Advisory Group when he was abducted with his Cambodian interpreter Houn Hourth in March 1996."
231|source target factuality: There were many conflicting accounts of his fate.|"There were many conflicting [accounts|true] of his [fate|true]."
232|source target factuality: Howes' team was clearing mines 17 kilometers (10 miles) from Angkor Wat, the fabled 11th century temple that is Cambodia's main tourist attraction, when it was attacked.|"Howes' team was [clearing|true] mines 17 kilometers (10 miles) from Angkor Wat, the fabled 11th century temple that is Cambodia's main tourist attraction, when it was [attacked|true]."
233|source target factuality: In January this year, British police officers who had been searching for Howes concluded he had probably been killed soon after being captured.|"In January this year, British police officers who had been [searching|true] for Howes [concluded|true] he had probably been killed soon after being [captured|true]."
234|source target factuality: The Foreign Office said it had informed the family of Howes, 37 years old when he was kidnapped, that he probably died within weeks or months of his capture on March 26, 1996.|"The Foreign Office [said|true] it had informed the family of Howes, 37 years old when he was [kidnapped|true], that he probably died within weeks or months of his [capture|true] on March 26, 1996."
235|"source target factuality: But there is no evidence in either direction _ that there is proof of life or death,"" said a Foreign Office spokesman, speaking with customary anonymity."|"But there is no evidence in either direction _ that there is proof of [life|unknown][proof|unknown] of life or [death|unknown],"" [said|true] a Foreign Office spokesman, [speaking|true] with customary anonymity."
236|"source target factuality: ""We will continue to do everything we can to establish what has happened."""|"""We will continue to do everything we can to [establish|unknown] what has happened."""
237|source target factuality: Thai military officials who monitor Cambodian affairs said privately Thursday that Britain, through its embassies in Thailand and Cambodia, has been pushing hard to resolve the Howes case as the second anniversary of his abduction nears.|"Thai military officials who monitor Cambodian affairs said privately Thursday that Britain, through its embassies in Thailand and Cambodia, has been pushing hard to resolve the Howes case as the second [anniversary|true][said|true] privately Thursday that Britain, through its embassies in Thailand and Cambodia, has been pushing hard to [resolve|unknown] the Howes case as the second anniversary of his [abduction|true] nears."
238|source target factuality: Nhek Bunchhay, who had been closely involved in the search for Howes before having to flee the Cambodian capital after a coup d'etat last year, appeared confident he would find Howes' remains.|"Nhek Bunchhay, who had been closely involved in the search for Howes before having to flee the Cambodian capital after a [coup|true][involved|true] in the [search|true] for Howes before having to [flee|true] the Cambodian capital after a coup d'etat last year, [appeared|true] confident he would [find|unknown] Howes' remains."
239|source target factuality: He said he received information from Khmer Rouge guerrillas on where the body had been buried, and recently ordered 10 of his men from a force of 500 near Khmer Rouge headquarters in Anlong Veng to conduct the search.|"He said he received information from Khmer Rouge guerrillas on where the body had been buried, and recently ordered 10 of his men from a force of 500 near Khmer Rouge headquarters in Anlong Veng to [conduct|unknown][said|true] he received information from Khmer Rouge guerrillas on where the body had been [buried|true], and recently ordered 10 of his men from a force of 500 near Khmer Rouge headquarters in Anlong Veng to conduct the [search|true]."
240|source target factuality: If and when the remains are found, he said, they would be turned over to the British Embassy, apparently meaning they would be sent across the border into Thailand and onward to Bangkok.|"If and when the remains are [found|unknown], he [said|true], they would be [turned|unknown] over to the British Embassy, apparently meaning they would be [sent|possibly true] across the border into Thailand and onward to Bangkok."
241|source target factuality: Nhek Bunchhay said he now believed Howes had been killed within a week of his capture by a Khmer Rouge faction loyal to Pol Pot, then the guerrilla group's leader.|"Nhek Bunchhay [said|true] he now believed Howes had been killed within a week of his [capture|true] by a Khmer Rouge faction loyal to Pol Pot, then the guerrilla group's leader."
242|source target factuality: Pol Pot is considered responsible for the radical policies that led to the deaths of as many as 1.7 million Cambodians when the communist group held power in the late 1970s.|"Pol Pot is considered responsible for the radical [policies|true][considered|true] responsible for the radical policies that [led|true] to the [deaths|true] of as many as 1.7 million Cambodians when the communist group [held|true] power in the late 1970s."
243|source target factuality: At the time Howes was captured, the Khmer Rouge were a more or less united guerrilla force with more than 10,000 men under arms.|"At the time Howes was [captured|true], the Khmer Rouge were a more or less united guerrilla force with more than 10,000 men under arms."
244|source target factuality: But the group began to fall apart in mid-1996 after the defection of one of its top leaders, Ieng Sary.|"But the group began to [fall|true][began|true] to fall apart in mid-1996 after the [defection|true] of one of its top leaders, Ieng Sary."
245|source target factuality: Other commanders, and thousands of guerrillas, followed him.|"Other commanders, and thousands of guerrillas, [followed|true] him."
246|source target factuality: A small hardcore group under Pol Pot continued to hold out at their headquarters at Anlong Veng in northern Cambodia near the Thai border.|"A small hardcore group under Pol Pot continued to [hold|true][continued|true] to hold out at their headquarters at Anlong Veng in northern Cambodia near the Thai border."
247|source target factuality: But in June last year, the remaining leadership had a falling out, and Pol Pot was arrested.|"But in June last year, the remaining leadership had a [falling|true] out, and Pol Pot was [arrested|true]."
248|source target factuality: In July last year in Phnom Penh, Cambodia's capital, Second Prime Minister Hun Sen staged a successful coup d'etat against First Prime Minister Prince Norodom Ranariddh.|"In July last year in Phnom Penh, Cambodia's capital, Second Prime Minister Hun Sen [staged|true] a successful [coup|true] d'etat against First Prime Minister Prince Norodom Ranariddh."
249|source target factuality: Ranariddh's loyalists, including Nhek Bunchhay, his top military commander, went into hiding or fled the capital.|"Ranariddh's loyalists, including Nhek Bunchhay, his top military commander, [went|true] into hiding or [fled|true] the capital."
250|source target factuality: Nhek Bunchhay, evading an intensive manhunt, made his way to O'Smach, the last major outpost held by Ranariddh's forces.|"Nhek Bunchhay, [evading|true] an intensive [manhunt|true], [made|true] his way to O'Smach, the last major outpost held by Ranariddh's forces."
251|source target factuality: His men have held the stronghold _ which is on the border just opposite the Thai province of Surin _ against repeated intense attacks by Hun Sen's troops.|"His men have held the stronghold _ which is on the border just opposite the Thai province of Surin _ against repeated intense [attacks|true] by Hun Sen's troops."
252|source target factuality: They have been aided by Khmer Rouge guerrillas from Anlong Veng, who have formed an alliance with Ranariddh's resistance forces to oppose Hun Sen.|"They have been [aided|true] by Khmer Rouge guerrillas from Anlong Veng, who have [formed|true] an alliance with Ranariddh's resistance forces to oppose Hun Sen."
253|source target factuality: The mayor of Moscow has allocated funds to help build a museum in honor of Mikhail Kalashnikov, the Russian who gave his name to the world's most widely wielded weapon, according to a news agency report Friday.|"The mayor of Moscow has allocated funds to [help|unknown][help|unknown] [build|unknown] a museum in honor of Mikhail Kalashnikov, the Russian who gave his name to the world's most widely wielded weapon, according to a news agency [report|true][gave|true] his name to the world's most widely wielded weapon, [according|true] to a news agency report Friday."
254|source target factuality: Kalashnikov designed the AK-47 automatic rifle, famed for its reliability and effectiveness.|"Kalashnikov [designed|true] the AK-47 automatic rifle, famed for its reliability and effectiveness."
255|source target factuality: Together with its derivatives, the Kalashnikov rifle has been used by the police and armies of 55 countries and an assortment of guerrillas, terrorists and just plain thugs around the globe.|"Together with its derivatives, the Kalashnikov rifle has been [used|true] by the police and armies of 55 countries and an assortment of guerrillas, terrorists and just plain thugs around the globe."
256|source target factuality: Seventy-five million copies of the rifle have been built since it entered production in February 1947, making it history's most widely distributed weapon.|"Seventy-five million copies of the rifle have been built since it [entered|true] [production|true][built|true] since it entered production in February 1947, making it history's most widely distributed weapon."
257|source target factuality: The World Court Friday rejected U.S. and British objections to a Libyan World Court case that has blocked the trial of two Libyans suspected of blowing up a Pan Am jumbo jet over Scotland in 1988.|"The World Court Friday rejected U.S. and British [objections|true] to a Libyan World Court case that has blocked the [trial|false][rejected|true] U.S. and British objections to a Libyan World Court case that has [blocked|true] the trial of two Libyans [suspected|true] of [blowing|possibly true] up a Pan Am jumbo jet over Scotland in 1988."
258|source target factuality: Libya, which brought the case to the United Nations' highest judicial body in its dispute with the United States and Britain, hailed the ruling and said it would press anew for a trial in a third neutral country.|"Libya, which brought the case to the United Nations' highest judicial body in its dispute with the United States and Britain, hailed the [ruling|true] and said it would press anew for a [trial|unknown][brought|true] the case to the United Nations' highest judicial body in its [dispute|true] with the United States and Britain, [hailed|true] the ruling and [said|true] it would press anew for a trial in a third neutral country."
259|source target factuality: Both U.S. and British officials filed objections to the court's jurisdiction in 1995, claiming Security Council resolutions imposed on Lybia to force the suspects' extradition overruled a 1971 Convention which gives Libya the right to try the men.|"Both U.S. and British officials [filed|true] objections to the court's jurisdiction in 1995, [claiming|true] Security Council resolutions [imposed|true] on Lybia to [force|unknown] the suspects' extradition overruled a 1971 Convention which gives Libya the right to try the men."
260|source target factuality: Taking the stand in her own defense, a friend of Yitzhak Rabin's assassin said Friday that she regretted calling the prime minister a traitor and praying for his death.|"[Taking|true] the stand in her own defense, a friend of Yitzhak Rabin's assassin [said|true] Friday that she regretted calling the prime minister a traitor and praying for his [death|unknown]."
261|source target factuality: Margalit Har-Shefi, 22, has pleaded innocent to charges that she failed to report Yigal Amir's plan to kill Rabin.|"Margalit Har-Shefi, 22, has [pleaded|true] innocent to [charges|true] that she failed to report Yigal Amir's [plan|true] to [kill|unknown] Rabin."
262|source target factuality: She took the stand for more than four hours Friday in a Tel Aviv magistrate's court.|"She [took|true] the stand for more than four hours Friday in a Tel Aviv magistrate's court."
263|source target factuality: Amir, 27, is serving a life sentence for the November 1995 assassination of Rabin at a Tel Aviv peace rally.|"Amir, 27, is [serving|true] a life sentence for the November 1995 [assassination|true] of Rabin at a Tel Aviv peace [rally|true]."
264|source target factuality: Newspaper reports have said Amir was infatuated with Har-Shefi and may have been trying to impress her by killing the prime minister.|"Newspaper reports have [said|true] Amir was infatuated with Har-Shefi and may have been trying to [impress|unknown] her by killing the prime minister."
265|source target factuality: Har-Shefi acknowledged she told police interrogators that Rabin was a traitor and that she prayed for him to have a heart attack and die.|"Har-Shefi [acknowledged|true] she [told|true] police interrogators that Rabin was a traitor and that she prayed for him to have a heart [attack|unknown] and [die|unknown]."
266|"source target factuality: She said Rabin's murder was ""a black stain on Israel,"" Israel radio and Israel army radio reported."|"She said Rabin's [murder|true] was ""a black stain on Israel,"" Israel radio and Israel army radio [reported|true]."
267|source target factuality: Har-Shefi said she heard Amir talk about killing Rabin but did not tell the police because she did not believe he was serious.|"Har-Shefi [said|true] she heard Amir talk about [killing|unknown] Rabin but did not tell the police because she did not believe he was serious."
268|source target factuality: Instead, she turned to her community rabbi in the Jewish West Bank settlement of Beit El and told him about Amir's statements.|"Instead, she [turned|true] to her community rabbi in the Jewish West Bank settlement of Beit El and [told|true] him about Amir's [statements|true]."
269|"source target factuality: The rabbi said called the talk about killing Rabin ""nonsense,"" and said Jews are prohibited from killing one another, the radio reports said."|"The rabbi said called the [talk|true] about [killing|unknown] Rabin ""nonsense,"" and said Jews are prohibited from killing one another, the radio reports [said|true]."
270|"source target factuality: Har-Shefi described Amir as an ""original thinker,"" as well as delusional and a liar."|"Har-Shefi [described|true] Amir as an ""original thinker,"" as well as delusional and a liar."
271|source target factuality: She also denied accusations made by Amir's brother, Hagai, that she joined an anti-Arab underground movement.|"She also [denied|true] [accusations|true] [made|true] by Amir's brother, Hagai, that she joined an anti-Arab underground movement."
272|source target factuality: She said she gave the Amir brothers false information regarding the location of a weapons and ammunition cache when they asked her to help organize such a movement.|"She [said|true] she gave the Amir brothers false information regarding the location of a weapons and ammunition cache when they [asked|true] her to [help|unknown] [organize|unknown] such a movement."
273|source target factuality: The Organization of African Unity said Friday it would investigate the Hutu-organized genocide of more than 500,000 minority Tutsis in Rwanda nearly four years ago.|"The Organization of African Unity [said|true] Friday it would investigate the Hutu-organized [genocide|true] of more than 500,000 minority Tutsis in Rwanda nearly four years ago."
274|source target factuality: Foreign ministers of member-states meeting in the Ethiopian capital agreed to set up a seven-member panel to investigate who shot down Rwandan President Juvenal Habyarimana's plane on April 6, 1994.|"Foreign ministers of member-states [meeting|true] in the Ethiopian capital [agreed|true] to [set|unknown] up a seven-member panel to [investigate|unknown] who [shot|true] down Rwandan President Juvenal Habyarimana's plane on April 6, 1994."
275|source target factuality: The assassination touched off a murderous rampage by Hutu security forces and civilians, who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority.|"The [assassination|true] [touched|true] off a murderous [rampage|true] by Hutu security forces and civilians, who [slaughtered|true] mainly Tutsis but also Hutus who [favored|true] [reconciliation|unknown] with the minority."
276|source target factuality: It also reignited the civil war.|"It also [reignited|true] the civil [war|true]."
277|source target factuality: The panel also will look at the exodus of about 2 million Rwanda Hutus to neighboring countries where they lived in U.N.-run refugee camps for 2 1/2 years.|"The panel also will [look|true] at the [exodus|true] of about 2 million Rwanda Hutus to neighboring countries where they [lived|true] in U.N.-run refugee camps for 2 1/2 years."
278|"source target factuality: The investigation will consider the role of ""internal and external forces prior to the genocide and subsequently, and the role of the United Nations and its agencies and the OAU before, during and after the genocide,"" the OAU said."|"The [investigation|true] will consider the role of ""internal and external forces prior to the genocide and subsequently, and the role of the United Nations and its agencies and the OAU before, during and after the genocide,"" the OAU [said|true]."
279|source target factuality: The panel will be based in Addis Ababa, and will finish its investigation within a year, it said.|"The panel will be based in Addis Ababa, and will finish its [investigation|true] within a year, it [said|true]."
280|source target factuality: It is to be funded by voluntary contributions from within and outside the continent.|"It is to be [funded|true] by voluntary [contributions|unknown] from within and outside the continent."
281|source target factuality: Presidents Leonid Kuchma of Ukraine and Boris Yeltsin of Russia signed an economic cooperation plan Friday, and Yeltsin claimed they resolved even more nagging problems.|"Presidents Leonid Kuchma of Ukraine and Boris Yeltsin of Russia [signed|true] an economic cooperation plan Friday, and Yeltsin [claimed|true] they resolved even more nagging problems."
282|source target factuality: Russia and Ukraine share similar cultures and languages, and Ukraine was ruled from Moscow for centuries.|"Russia and Ukraine share similar cultures and languages, and Ukraine was [ruled|true] from Moscow for centuries."
283|source target factuality: But while the two Slavic neighbors see themselves as natural partners, their relations since the breakup of the Soviet Union have been bedeviled by a number of disputes _ Black Sea naval bases, border problems and Ukraine's natural gas debts.|"But while the two Slavic neighbors see themselves as natural partners, their relations since the breakup of the Soviet Union have been [bedeviled|true] by a number of [disputes|true][breakup|true] of the Soviet Union have been bedeviled by a number of disputes _ Black Sea naval bases, border problems and Ukraine's natural gas debts."
284|"source target factuality: ""We have covered the entire list of questions and discussed how we will be tackling them,"" Yeltsin was quoted as saying by the ITAR-Tass news agency."|"""We have covered the entire list of questions and discussed how we will be tackling them,"" Yeltsin was [quoted|true] as saying by the ITAR-Tass news agency."
285|source target factuality: But his sweeping statement contained no details, and gave no indication of how the disputes could be resolved.|"But his sweeping statement contained no details, and gave no indication of how the [disputes|true] could be [resolved|unknown]."
286|source target factuality: Their solution would require a compromise between the two nations' parliaments.|"Their solution would [require|true] a [compromise|unknown] between the two nations' parliaments."
287|source target factuality: A major dispute concerns a broad political treaty calling for border demarcation, which the two presidents signed last May.|"A major [dispute|true] concerns a broad political treaty calling for border demarcation, which the two presidents [signed|true] last May."
288|source target factuality: In effect, the treaty amounts to Russian recognition of Ukraine's sovereignty and borders, and the Ukrainian parliament has already ratified it.|"In effect, the treaty amounts to Russian recognition of Ukraine's sovereignty and borders, and the Ukrainian parliament has already [ratified|true] it."
289|source target factuality: However, Russia has stalled ratification, trying to tie it to an agreement that would permit the Russian navy to use a naval base on Ukraine's Crimean peninsula for at least 20 more years.|"However, Russia has [stalled|true] [ratification|unknown], [trying|true] to [tie|unknown] it to an [agreement|unknown] that would [permit|unknown] the Russian navy to [use|unknown] a naval base on Ukraine's Crimean peninsula for at least 20 more years."
290|"source target factuality: In their joint statement issued after the talks, Yeltsin and Kuchma called for the fastest possible ratification of the treaty, saying it would create a ""strong legal foundation"" for bilateral ties and help stability in Europe."|"In their joint statement [issued|true] after the [talks|true], Yeltsin and Kuchma [called|true] for the fastest possible [ratification|unknown] of the treaty, [saying|true] it would create a ""strong legal foundation"" for bilateral ties and help stability in Europe."
291|source target factuality: Kuchma assured Yeltsin that Ukraine would not join NATO, Yeltsin's spokesman Sergei Yastrzhembsky said, according to the Interfax news agency.|"Kuchma assured Yeltsin that Ukraine would not join NATO, Yeltsin's spokesman Sergei Yastrzhembsky said, [according|true] to the Interfax news agency."
292|source target factuality: The Russian leadership has staunchly opposed the western alliance's expansion into Eastern Europe.|"The Russian leadership has staunchly [opposed|true] the western alliance's [expansion|true] into Eastern Europe."
293|source target factuality: In their joint statement, released by the Kremlin, the two leaders also pledged to consult each other regularly on their approaches to relations with NATO and, in particular, their action within the framework of NATO's Partnership for Peace program.|"In their joint statement, [released|true] by the Kremlin, the two leaders also [pledged|true] to [consult|unknown] each other regularly on their approaches to relations with NATO and, in particular, their action within the framework of NATO's Partnership for Peace program."
294|source target factuality: Last year, Russian officials assailed Ukraine for holding joint naval exercises with NATO in the Black Sea _ an area Moscow considers its own turf.|"Last year, Russian officials [assailed|true] Ukraine for [holding|true] joint naval [exercises|true] with NATO in the Black Sea _ an area Moscow considers its own turf."
295|source target factuality: Kuchma has said repeatedly that Ukraine would remain neutral for the foreseeable future.|"Kuchma has [said|true] repeatedly that Ukraine would remain neutral for the foreseeable future."
296|source target factuality: Yeltsin and Kuchma also called for developing the stagnant relations between the members of the Commonwealth of Independent States, a loose coalition of former Soviet republics.|"Yeltsin and Kuchma also [called|true] for [developing|unknown] the stagnant relations between the members of the Commonwealth of Independent States, a loose coalition of former Soviet republics."
297|source target factuality: In the past, Russia has often claimed that Ukraine was undermining efforts at closer cooperation within the CIS.|"In the past, Russia has often [claimed|true] that Ukraine was undermining efforts at closer cooperation within the CIS."
298|source target factuality: A major goal of Kuchma's four-day state visit was the signing of a 10-year economic program aimed at doubling the two nations' trade turnover, which fell to dlrs 14 billion last year, down dlrs 2.5 billion from 1996.|"A major goal of Kuchma's four-day state visit was the signing of a 10-year economic program aimed at [doubling|unknown] the two nations' trade turnover, which [fell|true][signing|unknown][visit|true] was the signing of a 10-year economic program [aimed|true] at doubling the two nations' trade turnover, which fell to dlrs 14 billion last year, down dlrs 2.5 billion from 1996."
299|source target factuality: The two presidents on Friday signed the plan, which calls for cooperation in the metallurgy, fuel, energy, aircraft building, missile, space and chemical industries.|"The two presidents on Friday [signed|true] the plan, which [calls|true] for [cooperation|unknown] in the metallurgy, fuel, energy, aircraft building, missile, space and chemical industries."
300|source target factuality: A major project is joint manufacturing of An-70 cargo planes, the Kremlin statement said.|"A major project is joint manufacturing of An-70 cargo planes, the Kremlin statement [said|true]."
301|source target factuality: The program also calls for coordination of economic reforms and joint improvement of social programs in the two countries, where many people have become impoverished during the chaotic post-Soviet transition to capitalism.|"The program also [calls|true] for [coordination|unknown] of economic reforms and joint [improvement|unknown] of social programs in the two countries, where many people have become [impoverished|true] during the chaotic post-Soviet [transition|true] to capitalism."
302|source target factuality: Kuchma also planned to visit Russian gas giant Gazprom, most likely to discuss Ukraine's dlrs 1.2 billion debt to the company.|"Kuchma also [planned|true] to [visit|unknown] Russian gas giant Gazprom, most likely to [discuss|possibly true] Ukraine's dlrs 1.2 billion debt to the company."
